case,m,n,simd_ms,simt_ms,measured_ratio,all_simd_score,all_simt_score,predicted_ratio,effective,unmodeled
trans_64x64,64,64,0.023930,0.022379,1.0693,43.50,576.16,0.0755,all_simd,[]
trans_128x128,128,128,0.022413,0.018734,1.1964,43.50,576.16,0.0755,all_simd,[]
